Parameter,Value
BORE DIAMETER,"Drawing is a gearbox (Bonfiglioli A70). No cylinder bore term (""BORE/BORE DIA"") present anywhere; only shaft/hole diameters like Ø28 E7, Ø70 G7, Ø205 F7 etc → NA."
MOUNTING,"Mounting shown/mentioned as ""Mounting position B3"" in the technical specifications table and a view labeled ""MOUNTING POSITION - B3""; this is gearbox mounting position, not a hydraulic cylinder mounting type from the allowed list → unknown."
OPERATING TEMPERATURE,"No operating temperature value/range found in the customer/technical specification tables or notes → NA."
OPERATING PRESSURE,"No operating/working pressure value/range found; drawing is for gearbox (torque, ratio, oil) → NA."
CLOSE LENGTH,"No cylinder closed length; only gearbox outline dims (e.g., 585, 285, 280) without ""closed"" label → NA."
DRAWING NUMBER,IN-GA-25-926
FLUID,HYDRAULIC
ROD END,"No cylinder rod end; drawing shows shafts/flanges, no rod-end style callout → NA."
CYLINDER ACTION,"Not a cylinder; no single/double acting indication → NA."
STROKE LENGTH,"No stroke term/value → NA."
ROD DIAMETER,"No rod diameter term/value; only shaft diameters → NA."
OUTSIDE DIAMETER,"No ""OD/OUTSIDE DIA"" of a cylinder tube; only flange/PCD diameters (e.g., Ø270, PCD235) → NA."
BODY MATERIAL,"No material specified for housing/body in title block or notes → NA."
OPEN LENGTH,"No open length → NA."
RATED LOAD,"No rated load; table includes rated output torque (5000 Nm) but not load → NA."
PISTON MATERIAL,"No piston exists; none specified → NA."
STANDARD,"DIN 332-DR; UNI 6604; UNI 5739"
SURFACE FINISH,"No surface finish specification found → NA."
COATING THICKNESS,"No coating/paint thickness stated; only note ""Gearbox painting as per Bonfiglioli standard"" → NA."
SPECIAL FEATURES,"Gearbox are supplied WITH LUBRICANT OIL.; Gearbox painting as per Bonfiglioli standard."
CYLINDER CONFIGURATION,"Not a cylinder; no configuration stated → NA."
CYLINDER STYLE,"Not a cylinder; no style stated → NA."
CONCENTRICITY OF ROD AND TUBE,"No concentricity callout; not applicable → NA."
